,Rotterdam_Port_Dues_Crude_A,Rotterdam_Port_Dues_Crude_B,Rotterdam_Port_Dues_Product_A,Rotterdam_Port_Dues_Product_B
2000-01-01,0.28,0.48,0.28,0.45
2001-01-01,0.25,0.43,0.25,0.41
2002-01-01,0.24,0.42,0.24,0.39
2003-01-01,0.26,0.45,0.26,0.42
2004-01-01,0.31,0.52,0.31,0.5
2005-01-01,0.34,0.58,0.34,0.55
2006-01-01,0.35,0.59,0.35,0.57
2007-01-01,0.37,0.52,0.37,0.6
2008-01-01,0.41,0.7,0.41,0.67
2009-01-01,0.43,0.73,0.43,0.7
2010-01-01,0.38,0.98,0.38,0.62
2011-01-01,0.4,1.03,0.4,0.66
2012-01-01,0.41,1.06,0.41,0.67
2013-01-01,0.38,0.94,0.38,0.62
2014-01-01,0.39,0.94,0.39,0.63
2015-01-01,0.4,0.96,0.4,0.66
2016-01-01,0.34,0.8,0.34,0.56
2017-01-01,0.33,0.76,0.33,0.54
2018-01-01,0.33,0.75,0.33,0.54
2019-01-01,0.36,0.8,0.36,0.59
2020-01-01,0.35,0.75,0.35,0.57
2021-01-01,0.35,0.76,0.35,0.56